    61/50000: episode: 1, duration: 4.258s, episode steps: 61, steps per second: 14, episode reward: 61.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.508 [0.000, 1.000], mean observation: -0.032 [-1.543, 1.146], loss: 0.426877, mean_absolute_error: 0.502965, mean_q: 0.178553\
  8281/50000: episode: 97, duration: 0.353s, episode steps: 142, steps per second: 403, episode reward: 142.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.458 [0.000, 1.000], mean observation: -0.424 [-2.423, 0.961], loss: 3.076881, mean_absolute_error: 29.847464, mean_q: 60.455410\
  8444/50000: episode: 98, duration: 0.421s, episode steps: 163, steps per second: 387, episode reward: 163.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.454 [0.000, 1.000], mean observation: -0.376 [-2.732, 0.807], loss: 3.486355, mean_absolute_error: 30.208595, mean_q: 61.198544\
  8624/50000: episode: 99, duration: 0.477s, episode steps: 180, steps per second: 377, episode reward: 180.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.467 [0.000, 1.000], mean observation: -0.336 [-2.591, 0.821], loss: 2.532157, mean_absolute_error: 30.697859, mean_q: 62.243011\
  8766/50000: episode: 100, duration: 0.351s, episode steps: 142, steps per second: 405, episode reward: 142.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.444 [0.000, 1.000], mean observation: -0.434 [-2.997, 1.004], loss: 2.740858, mean_absolute_error: 30.535191, mean_q: 61.891808\
  8913/50000: episode: 101, duration: 0.361s, episode steps: 147, steps per second: 407, episode reward: 147.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.456 [0.000, 1.000], mean observation: -0.415 [-2.414, 0.717], loss: 3.413217, mean_absolute_error: 30.648764, mean_q: 62.111401\
  9069/50000: episode: 102, duration: 0.385s, episode steps: 156, steps per second: 405, episode reward: 156.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.468 [0.000, 1.000], mean observation: -0.392 [-2.600, 0.933], loss: 2.934883, mean_absolute_error: 31.161715, mean_q: 62.975956\
  9235/50000: episode: 103, duration: 0.548s, episode steps: 166, steps per second: 303, episode reward: 166.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.464 [0.000, 1.000], mean observation: -0.372 [-2.576, 0.846], loss: 3.486603, mean_absolute_error: 31.578379, mean_q: 63.966774\
  9408/50000: episode: 104, duration: 0.577s, episode steps: 173, steps per second: 300, episode reward: 173.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.462 [0.000, 1.000], mean observation: -0.361 [-2.573, 0.795], loss: 3.196274, mean_absolute_error: 31.493570, mean_q: 63.740765\
  9573/50000: episode: 105, duration: 0.404s, episode steps: 165, steps per second: 408, episode reward: 165.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.455 [0.000, 1.000], mean observation: -0.372 [-2.974, 1.045], loss: 2.820010, mean_absolute_error: 32.101139, mean_q: 64.967590\
  9726/50000: episode: 106, duration: 0.378s, episode steps: 153, steps per second: 405, episode reward: 153.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.451 [0.000, 1.000], mean observation: -0.407 [-2.769, 0.762], loss: 3.592949, mean_absolute_error: 32.091976, mean_q: 64.896980\
  9926/50000: episode: 107, duration: 0.481s, episode steps: 200, steps per second: 416, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.223 [-2.008, 0.784], loss: 2.884758, mean_absolute_error: 32.490921, mean_q: 65.663498\
 10108/50000: episode: 108, duration: 0.587s, episode steps: 182, steps per second: 310, episode reward: 182.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.467 [0.000, 1.000], mean observation: -0.341 [-2.544, 0.931], loss: 3.054287, mean_absolute_error: 32.897461, mean_q: 66.509026\
 10302/50000: episode: 109, duration: 0.463s, episode steps: 194, steps per second: 419, episode reward: 194.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.464 [0.000, 1.000], mean observation: -0.323 [-2.530, 0.725], loss: 3.126048, mean_absolute_error: 33.145519, mean_q: 66.973412\
 10462/50000: episode: 110, duration: 0.384s, episode steps: 160, steps per second: 417, episode reward: 160.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.463 [0.000, 1.000], mean observation: -0.379 [-2.587, 0.958], loss: 2.063495, mean_absolute_error: 33.517830, mean_q: 67.867905\
 10613/50000: episode: 111, duration: 0.417s, episode steps: 151, steps per second: 363, episode reward: 151.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.457 [0.000, 1.000], mean observation: -0.403 [-2.776, 0.827], loss: 3.129826, mean_absolute_error: 33.380516, mean_q: 67.636406\
 10772/50000: episode: 112, duration: 0.445s, episode steps: 159, steps per second: 357, episode reward: 159.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.459 [0.000, 1.000], mean observation: -0.385 [-2.563, 0.926], loss: 2.557469, mean_absolute_error: 33.596920, mean_q: 68.028587\
 10972/50000: episode: 113, duration: 0.472s, episode steps: 200, steps per second: 424, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.485 [0.000, 1.000], mean observation: -0.080 [-1.098, 0.770], loss: 3.317822, mean_absolute_error: 33.880966, mean_q: 68.594193\
 11132/50000: episode: 114, duration: 0.374s, episode steps: 160, steps per second: 428, episode reward: 160.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.456 [0.000, 1.000], mean observation: -0.380 [-2.806, 0.995], loss: 2.079669, mean_absolute_error: 34.108162, mean_q: 69.022430\
 11297/50000: episode: 115, duration: 0.390s, episode steps: 165, steps per second: 423, episode reward: 165.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.467 [0.000, 1.000], mean observation: -0.369 [-2.420, 0.684], loss: 3.884223, mean_absolute_error: 34.502823, mean_q: 69.707436\
 11497/50000: episode: 116, duration: 0.503s, episode steps: 200, steps per second: 398, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.465 [0.000, 1.000], mean observation: -0.282 [-2.615, 0.927], loss: 2.307721, mean_absolute_error: 34.552521, mean_q: 69.961884\
 11661/50000: episode: 117, duration: 0.430s, episode steps: 164, steps per second: 381, episode reward: 164.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.463 [0.000, 1.000], mean observation: -0.365 [-2.582, 0.963], loss: 3.844882, mean_absolute_error: 34.574345, mean_q: 69.909210\
 11809/50000: episode: 118, duration: 0.361s, episode steps: 148, steps per second: 410, episode reward: 148.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.466 [0.000, 1.000], mean observation: -0.403 [-2.427, 0.828], loss: 3.170640, mean_absolute_error: 34.689644, mean_q: 70.166153\
 11947/50000: episode: 119, duration: 0.343s, episode steps: 138, steps per second: 402, episode reward: 138.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.464 [0.000, 1.000], mean observation: -0.432 [-2.437, 0.887], loss: 3.020279, mean_absolute_error: 34.771957, mean_q: 70.359428\
 12096/50000: episode: 120, duration: 0.398s, episode steps: 149, steps per second: 374, episode reward: 149.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.463 [0.000, 1.000], mean observation: -0.405 [-2.549, 1.034], loss: 3.717957, mean_absolute_error: 34.852879, mean_q: 70.446289\
 12235/50000: episode: 121, duration: 0.372s, episode steps: 139, steps per second: 373, episode reward: 139.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.453 [0.000, 1.000], mean observation: -0.438 [-2.618, 0.794], loss: 3.492309, mean_absolute_error: 35.022514, mean_q: 70.810181\
 12435/50000: episode: 122, duration: 0.607s, episode steps: 200, steps per second: 330, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.475 [0.000, 1.000], mean observation: -0.246 [-2.219, 0.711], loss: 2.777390, mean_absolute_error: 35.415707, mean_q: 71.601852\
 12583/50000: episode: 123, duration: 0.483s, episode steps: 148, steps per second: 307, episode reward: 148.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.453 [0.000, 1.000], mean observation: -0.410 [-2.618, 0.728], loss: 2.470809, mean_absolute_error: 35.441189, mean_q: 71.662308\
 12761/50000: episode: 124, duration: 0.459s, episode steps: 178, steps per second: 388, episode reward: 178.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.472 [0.000, 1.000], mean observation: -0.337 [-2.777, 1.150], loss: 2.688529, mean_absolute_error: 35.590103, mean_q: 71.962646\
 12916/50000: episode: 125, duration: 0.426s, episode steps: 155, steps per second: 363, episode reward: 155.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.452 [0.000, 1.000], mean observation: -0.384 [-2.970, 1.251], loss: 2.434036, mean_absolute_error: 35.496040, mean_q: 71.812340\
 13057/50000: episode: 126, duration: 0.381s, episode steps: 141, steps per second: 370, episode reward: 141.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.461 [0.000, 1.000], mean observation: -0.415 [-2.561, 0.922], loss: 3.619656, mean_absolute_error: 35.604675, mean_q: 71.982605\
 13223/50000: episode: 127, duration: 0.389s, episode steps: 166, steps per second: 427, episode reward: 166.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.458 [0.000, 1.000], mean observation: -0.365 [-2.738, 0.970], loss: 2.976168, mean_absolute_error: 35.697968, mean_q: 72.083511\
 13423/50000: episode: 128, duration: 0.474s, episode steps: 200, steps per second: 422, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.465 [0.000, 1.000], mean observation: -0.295 [-2.718, 0.847], loss: 2.354213, mean_absolute_error: 35.596687, mean_q: 72.073837\
 13601/50000: episode: 129, duration: 0.452s, episode steps: 178, steps per second: 394, episode reward: 178.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.472 [0.000, 1.000], mean observation: -0.337 [-2.611, 1.033], loss: 3.534891, mean_absolute_error: 36.126240, mean_q: 72.947960\
 13801/50000: episode: 130, duration: 0.533s, episode steps: 200, steps per second: 375, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.470 [0.000, 1.000], mean observation: -0.261 [-2.617, 1.121], loss: 3.263770, mean_absolute_error: 35.973732, mean_q: 72.538368\
 13946/50000: episode: 131, duration: 0.367s, episode steps: 145, steps per second: 395, episode reward: 145.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.448 [0.000, 1.000], mean observation: -0.408 [-2.789, 0.958], loss: 3.520302, mean_absolute_error: 35.974674, mean_q: 72.581551\
 14146/50000: episode: 132, duration: 0.512s, episode steps: 200, steps per second: 391, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.475 [0.000, 1.000], mean observation: -0.202 [-1.818, 0.745], loss: 2.834984, mean_absolute_error: 36.067837, mean_q: 72.959984\
 14329/50000: episode: 133, duration: 0.517s, episode steps: 183, steps per second: 354, episode reward: 183.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.464 [0.000, 1.000], mean observation: -0.320 [-2.553, 0.842], loss: 2.645635, mean_absolute_error: 36.466244, mean_q: 73.762703\
 14483/50000: episode: 134, duration: 0.442s, episode steps: 154, steps per second: 348, episode reward: 154.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.461 [0.000, 1.000], mean observation: -0.396 [-2.444, 0.909], loss: 2.256276, mean_absolute_error: 36.205463, mean_q: 73.144264\
 14641/50000: episode: 135, duration: 0.373s, episode steps: 158, steps per second: 424, episode reward: 158.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.468 [0.000, 1.000], mean observation: -0.406 [-2.427, 1.026], loss: 2.686020, mean_absolute_error: 36.569687, mean_q: 73.920776\
 14815/50000: episode: 136, duration: 0.457s, episode steps: 174, steps per second: 380, episode reward: 174.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.466 [0.000, 1.000], mean observation: -0.346 [-2.629, 0.917], loss: 2.939511, mean_absolute_error: 36.526428, mean_q: 73.755852\
 14979/50000: episode: 137, duration: 0.423s, episode steps: 164, steps per second: 387, episode reward: 164.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.470 [0.000, 1.000], mean observation: -0.374 [-2.431, 0.740], loss: 2.516989, mean_absolute_error: 36.050884, mean_q: 72.977272\
 15135/50000: episode: 138, duration: 0.377s, episode steps: 156, steps per second: 413, episode reward: 156.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.449 [0.000, 1.000], mean observation: -0.384 [-3.133, 1.420], loss: 2.424936, mean_absolute_error: 36.422878, mean_q: 73.685234\
 15310/50000: episode: 139, duration: 0.444s, episode steps: 175, steps per second: 394, episode reward: 175.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.463 [0.000, 1.000], mean observation: -0.340 [-3.011, 1.286], loss: 2.592895, mean_absolute_error: 36.729939, mean_q: 74.219666\
 15453/50000: episode: 140, duration: 0.406s, episode steps: 143, steps per second: 352, episode reward: 143.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.462 [0.000, 1.000], mean observation: -0.413 [-2.771, 1.045], loss: 2.672482, mean_absolute_error: 36.536331, mean_q: 73.769707\
 15636/50000: episode: 141, duration: 0.554s, episode steps: 183, steps per second: 330, episode reward: 183.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.464 [0.000, 1.000], mean observation: -0.327 [-2.800, 1.149], loss: 3.711480, mean_absolute_error: 36.634930, mean_q: 73.948730\
 15785/50000: episode: 142, duration: 0.362s, episode steps: 149, steps per second: 411, episode reward: 149.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.463 [0.000, 1.000], mean observation: -0.392 [-2.598, 0.852], loss: 2.463894, mean_absolute_error: 36.218132, mean_q: 73.012756\
 15974/50000: episode: 143, duration: 0.516s, episode steps: 189, steps per second: 366, episode reward: 189.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.524 [0.000, 1.000], mean observation: 0.361 [-0.814, 2.402], loss: 2.682043, mean_absolute_error: 36.139637, mean_q: 73.015587\
 16143/50000: episode: 144, duration: 0.427s, episode steps: 169, steps per second: 396, episode reward: 169.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.462 [0.000, 1.000], mean observation: -0.358 [-2.983, 1.155], loss: 2.261570, mean_absolute_error: 36.300789, mean_q: 73.285271\
 16343/50000: episode: 145, duration: 0.518s, episode steps: 200, steps per second: 386, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.460 [0.000, 1.000], mean observation: -0.302 [-2.931, 0.963], loss: 2.385322, mean_absolute_error: 36.380074, mean_q: 73.463036\
 16487/50000: episode: 146, duration: 0.357s, episode steps: 144, steps per second: 404, episode reward: 144.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.458 [0.000, 1.000], mean observation: -0.408 [-2.800, 1.128], loss: 2.713049, mean_absolute_error: 36.438065, mean_q: 73.433556\
 16636/50000: episode: 147, duration: 0.388s, episode steps: 149, steps per second: 384, episode reward: 149.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.450 [0.000, 1.000], mean observation: -0.400 [-3.187, 1.352], loss: 1.872933, mean_absolute_error: 36.180809, mean_q: 72.856529\
 16836/50000: episode: 148, duration: 0.507s, episode steps: 200, steps per second: 395, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.485 [0.000, 1.000], mean observation: -0.166 [-1.857, 0.919], loss: 1.635264, mean_absolute_error: 36.153595, mean_q: 72.976616\
 16992/50000: episode: 149, duration: 0.380s, episode steps: 156, steps per second: 411, episode reward: 156.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.449 [0.000, 1.000], mean observation: -0.380 [-2.951, 0.992], loss: 2.090558, mean_absolute_error: 36.351387, mean_q: 73.349800\
 17138/50000: episode: 150, duration: 0.370s, episode steps: 146, steps per second: 395, episode reward: 146.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.466 [0.000, 1.000], mean observation: -0.403 [-2.607, 1.114], loss: 2.620050, mean_absolute_error: 36.556007, mean_q: 73.700157\
 17318/50000: episode: 151, duration: 0.479s, episode steps: 180, steps per second: 376, episode reward: 180.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.461 [0.000, 1.000], mean observation: -0.345 [-2.759, 0.855], loss: 2.360801, mean_absolute_error: 36.218193, mean_q: 72.958008\
 17479/50000: episode: 152, duration: 0.418s, episode steps: 161, steps per second: 386, episode reward: 161.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.453 [0.000, 1.000], mean observation: -0.373 [-2.810, 0.913], loss: 1.960473, mean_absolute_error: 36.687744, mean_q: 73.856430\
 17664/50000: episode: 153, duration: 0.541s, episode steps: 185, steps per second: 342, episode reward: 185.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.465 [0.000, 1.000], mean observation: -0.328 [-2.572, 0.877], loss: 2.179395, mean_absolute_error: 36.465824, mean_q: 73.480164\
 17861/50000: episode: 154, duration: 0.532s, episode steps: 197, steps per second: 371, episode reward: 197.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.472 [0.000, 1.000], mean observation: -0.310 [-2.436, 0.871], loss: 2.726818, mean_absolute_error: 36.462143, mean_q: 73.508553\
 18061/50000: episode: 155, duration: 0.484s, episode steps: 200, steps per second: 414, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.470 [0.000, 1.000], mean observation: -0.256 [-2.193, 0.850], loss: 1.916335, mean_absolute_error: 36.164322, mean_q: 73.031097\
 18221/50000: episode: 156, duration: 0.390s, episode steps: 160, steps per second: 411, episode reward: 160.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.463 [0.000, 1.000], mean observation: -0.369 [-2.609, 0.988], loss: 1.232347, mean_absolute_error: 36.471077, mean_q: 73.644493\
 18395/50000: episode: 157, duration: 0.465s, episode steps: 174, steps per second: 374, episode reward: 174.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.460 [0.000, 1.000], mean observation: -0.358 [-2.781, 0.860], loss: 2.514826, mean_absolute_error: 36.610317, mean_q: 73.778313\
 18556/50000: episode: 158, duration: 0.462s, episode steps: 161, steps per second: 348, episode reward: 161.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.460 [0.000, 1.000], mean observation: -0.388 [-2.435, 1.026], loss: 2.263118, mean_absolute_error: 36.251064, mean_q: 73.176331\
 18740/50000: episode: 159, duration: 0.479s, episode steps: 184, steps per second: 384, episode reward: 184.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.473 [0.000, 1.000], mean observation: -0.321 [-2.753, 1.224], loss: 2.488231, mean_absolute_error: 35.963051, mean_q: 72.546654\
 18890/50000: episode: 160, duration: 0.358s, episode steps: 150, steps per second: 418, episode reward: 150.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.447 [0.000, 1.000], mean observation: -0.410 [-3.095, 1.202], loss: 2.520693, mean_absolute_error: 36.281387, mean_q: 73.157722\
 19090/50000: episode: 161, duration: 0.497s, episode steps: 200, steps per second: 402, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.485 [0.000, 1.000], mean observation: -0.057 [-1.318, 0.881], loss: 1.681860, mean_absolute_error: 36.234066, mean_q: 73.125069\
 19290/50000: episode: 162, duration: 0.488s, episode steps: 200, steps per second: 410, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.475 [0.000, 1.000], mean observation: -0.234 [-2.002, 0.899], loss: 1.956175, mean_absolute_error: 36.219418, mean_q: 73.099510\
 19467/50000: episode: 163, duration: 0.443s, episode steps: 177, steps per second: 400, episode reward: 177.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.463 [0.000, 1.000], mean observation: -0.351 [-2.436, 0.806], loss: 2.296129, mean_absolute_error: 36.417439, mean_q: 73.356117\
 19667/50000: episode: 164, duration: 0.568s, episode steps: 200, steps per second: 352, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.206 [-1.818, 1.006], loss: 3.086864, mean_absolute_error: 35.938599, mean_q: 72.391151\
 19818/50000: episode: 165, duration: 0.384s, episode steps: 151, steps per second: 393, episode reward: 151.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.464 [0.000, 1.000], mean observation: -0.397 [-2.433, 1.003], loss: 1.722510, mean_absolute_error: 36.477119, mean_q: 73.541817\
 20009/50000: episode: 166, duration: 0.485s, episode steps: 191, steps per second: 394, episode reward: 191.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.466 [0.000, 1.000], mean observation: -0.326 [-2.619, 0.851], loss: 2.326654, mean_absolute_error: 36.037502, mean_q: 72.721611\
 20190/50000: episode: 167, duration: 0.460s, episode steps: 181, steps per second: 394, episode reward: 181.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.459 [0.000, 1.000], mean observation: -0.347 [-2.947, 1.094], loss: 1.476172, mean_absolute_error: 36.054630, mean_q: 72.809479\
 20390/50000: episode: 168, duration: 0.492s, episode steps: 200, steps per second: 407, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.475 [0.000, 1.000], mean observation: -0.289 [-2.359, 0.995], loss: 1.275694, mean_absolute_error: 35.882984, mean_q: 72.379974\
 20553/50000: episode: 169, duration: 0.392s, episode steps: 163, steps per second: 416, episode reward: 163.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.460 [0.000, 1.000], mean observation: -0.378 [-2.409, 0.975], loss: 1.580962, mean_absolute_error: 35.936852, mean_q: 72.492126\
 20747/50000: episode: 170, duration: 0.472s, episode steps: 194, steps per second: 411, episode reward: 194.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.459 [0.000, 1.000], mean observation: -0.315 [-3.134, 1.396], loss: 2.726299, mean_absolute_error: 35.744518, mean_q: 72.008858\
 20929/50000: episode: 171, duration: 0.488s, episode steps: 182, steps per second: 373, episode reward: 182.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.456 [0.000, 1.000], mean observation: -0.346 [-2.998, 1.126], loss: 2.083458, mean_absolute_error: 35.623009, mean_q: 71.770081\
 21110/50000: episode: 172, duration: 0.555s, episode steps: 181, steps per second: 326, episode reward: 181.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.464 [0.000, 1.000], mean observation: -0.324 [-2.738, 1.093], loss: 2.552132, mean_absolute_error: 35.501717, mean_q: 71.453911\
 21302/50000: episode: 173, duration: 0.503s, episode steps: 192, steps per second: 381, episode reward: 192.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.464 [0.000, 1.000], mean observation: -0.313 [-2.540, 0.889], loss: 1.535061, mean_absolute_error: 35.337299, mean_q: 71.329689\
 21465/50000: episode: 174, duration: 0.394s, episode steps: 163, steps per second: 414, episode reward: 163.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.466 [0.000, 1.000], mean observation: -0.374 [-2.431, 0.990], loss: 1.596179, mean_absolute_error: 35.191559, mean_q: 70.878700\
 21665/50000: episode: 175, duration: 0.500s, episode steps: 200, steps per second: 400, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.475 [0.000, 1.000], mean observation: -0.247 [-1.987, 0.815], loss: 2.405273, mean_absolute_error: 35.115067, mean_q: 70.719437\
 21819/50000: episode: 176, duration: 0.368s, episode steps: 154, steps per second: 419, episode reward: 154.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.448 [0.000, 1.000], mean observation: -0.393 [-3.182, 1.489], loss: 1.809051, mean_absolute_error: 34.921623, mean_q: 70.459358\
 22019/50000: episode: 177, duration: 0.495s, episode steps: 200, steps per second: 404, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.470 [0.000, 1.000], mean observation: -0.273 [-2.373, 0.958], loss: 2.597041, mean_absolute_error: 34.971188, mean_q: 70.590225\
 22219/50000: episode: 178, duration: 0.484s, episode steps: 200, steps per second: 413, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.485 [0.000, 1.000], mean observation: -0.075 [-1.138, 1.079], loss: 2.106006, mean_absolute_error: 35.397202, mean_q: 71.355736\
 22419/50000: episode: 179, duration: 0.489s, episode steps: 200, steps per second: 409, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.495 [0.000, 1.000], mean observation: -0.035 [-1.056, 0.925], loss: 2.454470, mean_absolute_error: 35.206894, mean_q: 70.897774\
 22586/50000: episode: 180, duration: 0.398s, episode steps: 167, steps per second: 420, episode reward: 167.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.467 [0.000, 1.000], mean observation: -0.354 [-2.568, 1.093], loss: 1.758814, mean_absolute_error: 35.132004, mean_q: 70.671501\
 22786/50000: episode: 181, duration: 0.486s, episode steps: 200, steps per second: 411, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.485 [0.000, 1.000], mean observation: -0.044 [-1.293, 1.102], loss: 2.627787, mean_absolute_error: 34.993702, mean_q: 70.453674\
 22949/50000: episode: 182, duration: 0.397s, episode steps: 163, steps per second: 410, episode reward: 163.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.466 [0.000, 1.000], mean observation: -0.356 [-2.165, 1.205], loss: 2.207937, mean_absolute_error: 35.305477, mean_q: 71.063408\
 23123/50000: episode: 183, duration: 0.425s, episode steps: 174, steps per second: 410, episode reward: 174.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.466 [0.000, 1.000], mean observation: -0.358 [-2.445, 0.957], loss: 1.925948, mean_absolute_error: 35.200432, mean_q: 70.950127\
 23281/50000: episode: 184, duration: 0.380s, episode steps: 158, steps per second: 416, episode reward: 158.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.456 [0.000, 1.000], mean observation: -0.391 [-2.622, 1.118], loss: 2.205642, mean_absolute_error: 34.940861, mean_q: 70.382637\
 23481/50000: episode: 185, duration: 0.491s, episode steps: 200, steps per second: 408, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.228 [-1.997, 0.858], loss: 2.034409, mean_absolute_error: 34.899158, mean_q: 70.376976\
 23667/50000: episode: 186, duration: 0.484s, episode steps: 186, steps per second: 384, episode reward: 186.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.457 [0.000, 1.000], mean observation: -0.344 [-2.957, 1.015], loss: 1.638917, mean_absolute_error: 34.784130, mean_q: 70.138924\
 23829/50000: episode: 187, duration: 0.390s, episode steps: 162, steps per second: 415, episode reward: 162.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.463 [0.000, 1.000], mean observation: -0.381 [-2.398, 1.000], loss: 1.638067, mean_absolute_error: 34.914215, mean_q: 70.344543\
 24029/50000: episode: 188, duration: 0.481s, episode steps: 200, steps per second: 416, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.156 [-1.700, 0.821], loss: 1.690761, mean_absolute_error: 34.910229, mean_q: 70.428329\
 24229/50000: episode: 189, duration: 0.478s, episode steps: 200, steps per second: 419, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.485 [0.000, 1.000], mean observation: -0.101 [-1.888, 1.146], loss: 2.750623, mean_absolute_error: 34.926502, mean_q: 70.287247\
 24404/50000: episode: 190, duration: 0.424s, episode steps: 175, steps per second: 412, episode reward: 175.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.457 [0.000, 1.000], mean observation: -0.373 [-2.732, 0.928], loss: 2.154429, mean_absolute_error: 35.193802, mean_q: 70.790131\
 24604/50000: episode: 191, duration: 0.484s, episode steps: 200, steps per second: 413, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.490 [0.000, 1.000], mean observation: -0.062 [-1.180, 0.900], loss: 2.765517, mean_absolute_error: 34.841625, mean_q: 70.159866\
 24804/50000: episode: 192, duration: 0.478s, episode steps: 200, steps per second: 419, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.475 [0.000, 1.000], mean observation: -0.242 [-2.011, 1.255], loss: 1.655852, mean_absolute_error: 34.973007, mean_q: 70.522835\
